################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   9.0304516052098605E-02   4.8426824809183658E-02   1.3889040235028826E-02
         1          2   0.0000000000000000E+00   4.6510781455971942E-02   8.1159764957786035E-06   1.9919632989341508E-04
         1          3   9.9667732893147283E-35   1.4864772418226502E-01   2.3994051881785069E-03   6.1733800280778968E-03
         1          4   8.5949844037238425E-03   1.2878200748080634E-01   6.0352298727025265E-02   1.3816586167240333E-02
         1          5   3.7480575537176307E-06   7.0054573990338972E-02   2.7948544554816462E-02   1.0341250419309826E-02
         1          6   1.1838724795794694E-02   3.0019601093397591E-01   1.6725017965963268E-01   3.0221956388341378E-02
         1          7   7.1602326286524388E-04   4.6577201659756301E-01   1.5875606873797715E-01   6.6308292476502675E-02
         1          8   1.8683283724398853E-09   7.8683447975832854E-01   2.0171825266471125E-01   1.2263659684953156E-01
         1          9   9.4858223611204303E-07   5.9201960956614574E-01   3.0490935422093585E-01   8.8395388577418202E-02
         1         10   3.0491234232784534E-16   5.8214078246549594E-01   2.9259073197838489E-02   3.9935601334165474E-02
         1         11   6.2434358202559676E-12   6.0221938368918448E-01   2.4722330740127926E-01   9.7525228305611139E-02
         1         12   4.7806888512909107E-27   2.5063433656586637E-01   1.1031396676132073E-03   5.0662282365881656E-03
         1         13   1.9925681288692154E-20   4.9932087810054643E-01   5.8565802125195923E-02   5.3329973181349466E-02
         1         14   3.7865925521356791E-01   3.3921688984564544E+00   2.2560500193116293E+00   3.9704730589884801E-01
         1         15   5.1200034364445368E-02   3.4378323532897720E-01   2.3656126841114744E-01   3.9035276204983906E-02
         1         16   2.1931042337441010E-02   1.8255792205940033E-01   1.1427055966283249E-01   1.9822981536203207E-02
         1         17   9.0216439429705364E-02   7.7509217588460000E-01   5.5104139981699551E-01   1.0441657162430684E-01
         1         18   4.0131545945555847E-02   4.8409132908907321E-01   2.8766646811158192E-01   5.3623677373076613E-02
         1         19   1.1222609556809869E-01   1.2800341548348642E+00   7.6478719310806209E-01   1.6188166468635340E-01
         1         20   2.1388301120135456E-02   7.7351767555726592E-01   4.4888928664400379E-01   9.7666647735930590E-02
         1         21   7.4061704024361340E-03   1.8611858506303602E+00   1.1288690326184223E+00   2.8450325407397875E-01
         1         22   9.9599947270490280E-04   1.0060624663164979E+00   2.2522363740992513E-01   1.2516284203436184E-01
         1         23   1.8697518232306966E-05   1.8302543935907349E+00   8.9506340684669194E-01   2.9913664520335864E-01
         1         24   3.4901230438759606E-10   1.3330559686995955E+00   2.7221233442480386E-01   1.9127503403246957E-01
         1         25   2.8523425442794221E-07   1.0848862505202237E+00   5.6646738074153813E-01   1.6416350356085893E-01
         1         26   5.2198328872619242E-18   8.3698564320978930E-01   2.4165941354856422E-02   4.1615233060191659E-02
         1         27   2.6247872994820541E-13   9.5666284087956832E-01   3.1045353145046778E-01   1.4354622024560712E-01
         1         28   4.9565532068959733E-23   5.9631256679955069E-01   4.6047959495212600E-02   5.3958389487149185E-02
