################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1288371000645604E-01 a         1     0     1     1     1
  3.2733690856624081E-01 a         2     0     1     1     2
  1.6861409282004944E+00 a         3     0     1     1     3
  2.3166386318243729E-01 a         4     0     1     1     4
  3.8461127486119862E-01 a         5     0     1     1     5
  1.1585495799600157E-01 a         6     0     1     1     6
  1.6581397544500598E+00 a         7     0     1     1     7
  2.8850364933059114E-01 a         8     0     1     1     8
 -3.7040544869056374E-01 a         9     0     1     1     9
  6.9983638237219106E-02 a        10     0     1     1    10
 -2.1226051633464063E-01 a        11     0     1     1    11
 -1.0355891086697993E+00 a        12     0     1     1    12
 -1.4988671549462645E-01 a        13     0     1     1    13
  6.2192366145959743E-01 a        14     0     1     1    14
 -1.1490959813141599E-01 a        15     0     1     1    15
  1.5327336405588439E+00 a        16     0     1     1    16
 -1.0506876221190131E+00 a        17     0     1     1    17
 -1.1348417577382205E-01 a        18     0     1     1    18
 -2.3961245385671082E-01 a        19     0     1     1    19
 -1.7999636293659724E-01 a        20     0     1     1    20
 -1.7971559501024251E-02 a        21     0     2     1     1
  2.2422939800339770E-01 a        22     0     2     1     2
  4.0502243377563624E-01 a        23     0     2     1     3
 -2.8970699266549838E-01 a        24     0     2     1     4
 -3.6324746545649522E-01 a        25     0     2     1     5
  1.1542497193817890E-01 a        26     0     2     1     6
  1.9088144490997638E-01 a        27     0     2     1     7
  2.0670603141188290E-01 a        28     0     2     1     8
  1.5073611817971638E-01 a        29     0     2     1     9
 -3.4363994049959623E-01 a        30     0     2     1    10
 -2.0355181552487750E-02 a        31     0     2     1    11
 -3.7973297271088446E-02 a        32     0     2     1    12
 -8.2432753267236328E-02 a        33     0     2     1    13
 -7.2722543295216924E-01 a        34     0     2     1    14
 -5.5183745823584107E-01 a        35     0     2     1    15
